"Asset ID","Description","Short Description","CYP Template","RSA Template","Parent Object","Related CCTV","Location","Floor","Room","Functional Cat 1","Functional Cat 2","Functional Cat 3","Starting Address","Source Connection","DB Address","Version","modifieddatetime","rsa_device_description","device_reviewed","x_coordinate","y_coordinate","modifieduser","display_maps","x_px_coordinate","y_px_coordinate"
TSC_ESC_0032,Escalator 32 Bank 12 (Concourse To Street),Esc 32,cyppanels_BMSescalator_RL,BMS_ESC,,,TSC,TSC_B1,TSC_B1_ESC-32,1,1,1,"",28,DB_ESC_HMI,,2025-03-06 10:39:58.260,Escalator 32 Bank 12 (Street to B1 Basement),,-5300474048,2407310465,root,true,,
TSC_ESC_0033,Escalator 33 Bank 12 (Concourse To Street),Esc 33,cyppanels_BMSescalator_RL,BMS_ESC,,,TSC,TSC_B1,TSC_B1_ESC-33,1,1,1,"",28,DB_ESC_HMI,,2025-03-06 10:39:58.637,Escalator 33 Bank 12 (Street to B1 Basement),,-5300474048,2407312160,root,true,,
TSC_ESC_0034,Escalator 34 Bank 12 (Concourse To Street),Esc 34,cyppanels_BMSescalator_RL,BMS_ESC,,,TSC,TSC_B1,TSC_B1_ESC-34,1,1,1,"",28,DB_ESC_HMI,,2025-03-06 10:39:58.839,Escalator 34 Bank 12 (Street to B1 Basement),,-5300474048,2407313860,root,true,,
TSC_ESC_0035,Escalator 35 Bank 13 (B3 Basement To B2 Basement),Esc 35,cyppanels_BMSescalator_RL,BMS_ESC,,,TSC,TSC_B1,TSC_B1_ESC-35,1,1,1,"",28,DB_ESC_HMI,,2025-03-06 10:39:59.274,Escalator 35 Bank 13 (B1 Basement to B2 Basement),,-5300339529,2407253260,root,true,,
TSC_ESC_0035_38,Escalator Bank Landing To Higher Level- OSD Shaft,,cyppanels_BMSescalatorlanding,BMS_ESC_LND,,,,,,1,1,1,"",28,DB_ESC_LND_HMI,,2025-03-06 10:39:59.379,Escalator Bank Landing to Higher Level- OSD Shaft,,,,root,,,
TSC_ESC_0036,Escalator 36 Bank 13 (B3 Basement To B2 Basement),Esc 36,cyppanels_BMSescalator_RL,BMS_ESC,,,TSC,TSC_B1,TSC_B1_ESC-36,1,1,1,"",28,DB_ESC_HMI,,2025-03-06 10:39:59.554,Escalator 36 Bank 13 (B1 Basement to B2 Basement),,-5300337878,2407253260,root,true,,
TSC_ESC_0037,Escalator 37 Bank 13 (B3 Basement To B2 Basement),Esc 37,cyppanels_BMSescalator_RL,BMS_ESC,,,TSC,TSC_B1,TSC_B1_ESC-37,1,1,1,"",28,DB_ESC_HMI,,2025-03-06 10:39:59.749,Escalator 37 Bank 13 (B1 Basement to B2 Basement),,-5300336158,2407253260,root,true,,
TSC_ESC_0038,Escalator 38 Bank 13 (B3 Basement To B2 Basement),Esc 38,cyppanels_BMSescalator_RL,BMS_ESC,,,TSC,TSC_B1,TSC_B1_ESC-38,1,1,1,"",28,DB_ESC_HMI,,2025-03-06 10:39:59.964,Escalator 38 Bank 13 (B1 Basement to B2 Basement),,-5300334398,2407253260,root,true,,
TSC_ESC_0039,Escalator 39 Bank 14 (Concourse To Street),Esc 39,cyppanels_BMSescalator_LR,BMS_ESC,,,TSC,TSC_B1,TSC_B1_ESC-39,1,1,1,"",28,DB_ESC_HMI,,2025-03-06 10:40:00.544,Escalator 39 Bank 14 (Street to B1 Basement),,-5300360248,2407252547,root,true,,
TSC_ESC_0040,Escalator 40 Bank 14 (Concourse To Street),Esc 40,cyppanels_BMSescalator_LR,BMS_ESC,,,TSC,TSC_B1,TSC_B1_ESC-40,1,1,1,"",28,DB_ESC_HMI,,2025-03-06 10:40:01.109,Escalator 40 Bank 14 (Street to B1 Basement),,-5300361968,2407252547,root,true,,
TSC_ESC_0041,Escalator 41 Bank 14 (Concourse To Street),Esc 41,cyppanels_BMSescalator_LR,BMS_ESC,,,TSC,TSC_B1,TSC_B1_ESC-41,1,1,1,"",28,DB_ESC_HMI,,2025-03-06 10:40:01.324,Escalator 41 Bank 14 (Street to B1 Basement),,-5300363688,2407252547,root,true,,
TSC_ESC_0042,Escalator 42 Bank 14 (Concourse To Street),Esc 42,cyppanels_BMSescalator_LR,BMS_ESC,,,TSC,TSC_B1,TSC_B1_ESC-42,1,1,1,"",28,DB_ESC_HMI,,2025-03-06 10:40:01.542,Escalator 42 Bank 14 (Street to B1 Basement),,-5300365443,2407252547,root,true,,
TSC_ESC_0043,Escalator 43 Bank 15 (B3 Basement To B2 Basement),Esc 43,cyppanels_BMSescalator_LR,BMS_ESC,,,TSC,TSC_B3,TSC_B3M_ESC-43,1,1,1,"",28,DB_ESC_HMI,,2025-03-06 10:40:02.000,Escalator 43 Bank 15 (B3M Basement Mezzanine to Concourse),,,,root,true,0,0
TSC_ESC_0043_44,Escalator Bank Landing - Federation Square,,cyppanels_BMSescalatorlanding,BMS_ESC_LND,,,,,,1,1,1,"",28,DB_ESC_LND_HMI,,2024-11-21 08:50:18.683,Escalator Bank Landing - Federation Square,,,,liam_walker_chan,,,
TSC_ESC_0044,Escalator 44 Bank 15 (B3 Basement To B2 Basement),Esc 44,cyppanels_BMSescalator_LR,BMS_ESC,,,TSC,TSC_B3,TSC_B3M_ESC-44,1,1,1,"",28,DB_ESC_HMI,,2025-03-06 10:40:02.220,Escalator 44 Bank 15 (B3M Basement Mezzanine to Concourse),,,,root,true,0,0
