"cctv_id","description","location","floor","room","x_coordinate","y_coordinate","z_coordinate","orientation","modifieddatetime","x_px_coordinate","y_px_coordinate"
TSC CAM1152,,TSC,TSC_B2,,-5300350296,2407270864,,,2024-11-20 13:16:41.029,5111,1113
TSC CAM1153,,TSC,TSC_B2,,-5300355545,2407257700,,,2024-11-20 13:16:41.029,5535,969
TSC CAM1156,,TSC,TSC_B2,,-5300353007,2407225136,,,2024-11-20 13:16:41.029,5547,1561
TSC CAM1158,,TSC,TSC_B2,,,,,,2024-11-20 13:16:41.029,5891,1299
TSC CAM1159,,TSC,TSC_B2,,,,,,2024-11-20 13:16:41.029,5869,1569
TSC CAM1161,,TSC,TSC_B2,,,,,,2024-11-20 13:16:41.029,11003,1301
TSC CAM1609,,TSC,TSC_B2,,-5300369681,2407236198,,,2024-11-20 13:16:41.100,7815,3861
TSC CAM1162,,TSC,TSC_B2,,,,,,2024-11-20 13:16:41.029,11129,1573
TSC CAM1164,,TSC,TSC_B2,,,,,,2024-11-20 13:16:41.029,11267,1407
TSC CAM1165,,TSC,TSC_B2,,,,,,2024-11-20 13:16:41.029,11267,1455
TSC CAM1166,,TSC,TSC_B2,,,,,,2024-11-20 13:16:41.029,11033,1291
TSC CAM1168,,TSC,TSC_B2,,-5300373838,2407228233,,,2024-11-20 13:16:41.029,7773,4165
TSC CAM1169,,TSC,TSC_B2,,-5300370378,2407228233,,,2024-11-20 13:16:41.029,7807,4165
TSC CAM1171,,TSC,TSC_B2,,-5300368353,2407229802,,,2024-11-20 13:16:41.029,8045,4031
TSC CAM1175,,TSC,TSC_B2,,-5300355733,2407240084,,,2024-11-20 13:16:41.029,8267,3723
TSC CAM1178,,TSC,TSC_B2,,-5300352435,2407227497,,,2024-11-20 13:16:41.029,8587,4151
TSC CAM1179,,TSC,TSC_B2,,-5300348164,2407226593,,,2024-11-20 13:16:41.029,8415,3369
TSC CAM1185,,TSC,TSC_B2,,-5300342012,2407252671,,,2024-11-20 13:16:41.029,8819,3283
TSC CAM1186,,TSC,TSC_B2,,-5300343304,2407234378,,,2024-11-20 13:16:41.029,8671,3909
TSC CAM1188,,TSC,TSC_B2,,-5300340419,2407228125,,,2024-11-20 13:16:41.029,8957,4153
TSC CAM1189,,TSC,TSC_B2,,-5300335002,2407228118,,,2024-11-20 13:16:41.029,8991,4153
TSC CAM1190,,TSC,TSC_B2,,-5300373881,2407217810,,,2024-11-20 13:16:41.029,7739,4475
TSC CAM1191,,TSC,TSC_B2,,-5300373915,2407222671,,,2024-11-20 13:16:41.029,7775,4475
TSC CAM1192,,TSC,TSC_B2,,-5300364311,2407220622,,,2024-11-20 13:16:41.029,8155,4165
TSC CAM1193,,TSC,TSC_B2,,-5300346455,2407219469,,,2024-11-20 13:16:41.029,8619,4479
TSC CAM1194,,TSC,TSC_B2,,-5300347252,2407217693,,,2024-11-20 13:16:41.029,9239,4581
TSC CAM1195,,TSC,TSC_B2,,-5300329558,2407215122,,,2024-11-20 13:16:41.029,9307,4751
TSC CAM1196,,TSC,TSC_B2,,-5300329632,2407209421,,,2024-11-20 13:16:41.029,9373,4735
TSC CAM1198,,TSC,TSC_B2,,-5300320218,2407210156,,,2024-11-20 13:16:41.029,10021,4701
TSC CAM1556,,TSC,TSC_B2,,-5300479661,2407305761,,,2024-11-20 13:16:41.066,8115,3655
TSC CAM1565,,TSC,TSC_B2,,-5300304772,2407216320,,,2024-11-20 13:16:41.100,9875,4409
TSC CAM1603,,TSC,TSC_B2,,-5300595382,2407301700,,,2024-11-20 13:16:41.100,4825,1479
TSC CAM1213,,TSC,TSC_B3,,-5300386064,2407226552,,,2024-11-20 13:16:41.029,3301,1569
TSC CAM1214,,TSC,TSC_B3,,-5300371942,2407242568,,,2024-11-20 13:16:41.029,3303,919
TSC CAM1217,,TSC,TSC_B3,,-5300371942,2407242843,,,2024-11-20 13:16:41.029,3301,1381
TSC CAM1218,,TSC,TSC_B3,,-5300366201,2407234619,,,2024-11-20 13:16:41.029,3447,1569
TSC CAM1219,,TSC,TSC_B3,,-5300371942,2407238397,,,2024-11-20 13:16:41.029,3589,983
TSC CAM1231,,TSC,TSC_B3,,-5300363075,2407265709,,,2024-11-20 13:16:41.029,3791,1223
TSC CAM1232,,TSC,TSC_B3,,-5300363075,2407265132,,,2024-11-20 13:16:41.029,4165,1375
TSC CAM1233,,TSC,TSC_B3,,-5300352409,2407265171,,,2024-11-20 13:16:41.029,3791,1361
TSC CAM1236,,TSC,TSC_B3,,,,,,2024-11-20 13:16:41.029,4535,1245
TSC CAM1237,,TSC,TSC_B3,,-5300363018,2407258906,,,2024-11-20 13:16:41.029,4535,1305
TSC CAM1240,,TSC,TSC_B3,,-5300356196,2407254463,,,2024-11-20 13:16:41.029,4765,1215
TSC CAM1241,,TSC,TSC_B3,,-5300356261,2407252937,,,2024-11-20 13:16:41.029,4587,1557
TSC CAM1242,,TSC,TSC_B3,,-5300349790,2407254120,,,2024-11-20 13:16:41.029,5051,1295
TSC CAM1244,,TSC,TSC_B3,,-5300351108,2407257603,,,2024-11-20 13:16:41.029,5475,1569
TSC CAM1245,,TSC,TSC_B3,,-5300352600,2407247314,,,2024-11-20 13:16:41.029,4805,1465
TSC CAM1250,,TSC,TSC_B3,,-5300350946,2407236823,,,2024-11-20 13:16:41.029,3609,2531
TSC CAM1251,,TSC,TSC_B3,,-5300371771,2407234619,,,2024-11-20 13:16:41.029,3605,2219
TSC CAM1252,,TSC,TSC_B3,,-5300368445,2407234700,,,2024-11-20 13:16:41.029,3171,2221
TSC CAM1256,,TSC,TSC_B3,,-5300350946,2407229046,,,2024-11-20 13:16:41.029,7967,1947
TSC CAM1257,,TSC,TSC_B3,,-5300396728,2407243929,,,2024-11-20 13:16:41.029,7687,1915
TSC CAM1259,,TSC,TSC_B3,,-5300352768,2407233496,,,2024-11-20 13:16:41.029,7967,1915
TSC CAM1261,,TSC,TSC_B3,,,,,,2024-11-20 13:16:41.029,7803,2223
TSC CAM1263,,TSC,TSC_B3,,,,,,2024-11-20 13:16:41.029,7915,2223
TSC CAM1264,,TSC,TSC_B3,,-5300306004,2407193184,,,2024-11-20 13:16:41.029,7587,3135
TSC CAM1265,,TSC,TSC_B3,,-5300377349,2407256496,,,2024-11-20 13:16:41.029,7751,2773
TSC CAM1268,,TSC,TSC_B3,,-5300364974,2407259720,,,2024-11-20 13:16:41.029,8017,3117
TSC CAM1269,,TSC,TSC_B3,,,,,,2024-11-20 13:16:41.029,8103,3353
TSC CAM1271,,TSC,TSC_B3,,-5300364300,2407255338,,,2024-11-20 13:16:41.029,8627,3451
TSC CAM1274,,TSC,TSC_B3,,-5300342340,2407223457,,,2024-11-20 13:16:41.029,8855,4535
TSC CAM1275,,TSC,TSC_B3,,-5300340922,2407215577,,,2024-11-20 13:16:41.029,9483,4535
TSC CAM1277,,TSC,TSC_B3,,-5300332689,2407210691,,,2024-11-20 13:16:41.066,9191,4659
