"Asset ID","Description","Short Description","RSA Template","Related CCTV","Location","Floor","Room","Source Connection","rsa_device_description","x_coordinate","y_coordinate","display_maps"
TSC-SPE-3182,"B3M OSD, BOH C'DOR 151-75, TSC-SPE-3182",SPE-3182,FDS_DEVICE,"{""TSC CAM1273"",""TSC CAM1314""}",TSC,TSC_B3,,97,"B3M OSD, BOH C'DOR 151-75, TSC-SPE-3182",-5300340371,2407237593,true
TSC-SPE-3184,"B3M OSD, BOH C'DOR 151-75, TSC-SPE-3184",SPE-3184,FDS_DEVICE,"{""TSC CAM1314""}",TSC,TSC_B3,,97,"B3M OSD, BOH C'DOR 151-75, TSC-SPE-3184",-5300340852,2407221274,true
TSC-SPE-3186,"B3M OSD, METER 654-71, TSC-SPE-3186",SPE-3186,FDS_DEVICE,,TSC,TSC_B3,,97,"B3M OSD, METER 654-71, TSC-SPE-3186",-5300334923,2407224666,true
TSC-SPE-3237,"B4 OSD, TRANSFER 825-75, TSC-SPE-3237",SPE-3237,FDS_DEVICE,,TSC,TSC_B4,,97,"B4 OSD, TRANSFER 825-75, TSC-SPE-3237",-5300356142,2407257431,true
TSC-SPE-3245,"B4 OSD, CLEANR CUPB 235-72, TSC-SPE-3245",SPE-3245,FDS_DEVICE,,TSC,TSC_B4,,97,"B4 OSD, CLEANR CUPB 235-72, TSC-SPE-3245",-5300354627,2407249001,true
TSC-SPE-3188,"B3M OSD, LV RISER 660-75, TSC-SPE-3188",SPE-3188,FDS_DEVICE,,TSC,TSC_B3,,97,"B3M OSD, LV RISER 660-75, TSC-SPE-3188",-5300352072,2407232233,true
TSC-SPE-3401,"B3M OSD, AIR SHAFT 801-71, TSC-SPE-3401",SPE-3401,FDS_DEVICE,,TSC,TSC_B3,,97,"B3M OSD, AIR SHAFT 801-71, TSC-SPE-3401",-5300360972,2407221393,true
TSC-SPE-3036,"B3M OSD, AIR SHAFT 801-71, TSC-SPE-3036",SPE-3036,FDS_DEVICE,,TSC,TSC_B3,,97,"B3M OSD, AIR SHAFT 801-71, TSC-SPE-3036",-5300356185,2407217750,true
TSC-SPE-3037,"B3M OSD, AIR SHAFT 801-71, TSC-SPE-3037",SPE-3037,FDS_DEVICE,,TSC,TSC_B3,,97,"B3M OSD, AIR SHAFT 801-71, TSC-SPE-3037",-5300346886,2407217862,true
TSC-SPE-3404,"B3M OSD, FAN 802-71, TSC-SPE-3404",SPE-3404,FDS_DEVICE,,TSC,TSC_B3,,97,"B3M OSD, FAN 802-71, TSC-SPE-3404",-5300351090,2407220662,true
TSC-SPE-3194,"B3M OSD, AIR SHAFT 801-71, TSC-SPE-3194",SPE-3194,FDS_DEVICE,,TSC,TSC_B3,,97,"B3M OSD, AIR SHAFT 801-71, TSC-SPE-3194",-5300367372,2407212064,true
TSC-SPE-3195,"B3M OSD, BOH C'DOR 151-75, TSC-SPE-3195",SPE-3195,FDS_DEVICE,,TSC,TSC_B3,,97,"B3M OSD, BOH C'DOR 151-75, TSC-SPE-3195",-5300333798,2407217094,true
TSC-SPE-3196,"B3M OSD, C'DOR 405-72, TSC-SPE-3196",SPE-3196,FDS_DEVICE,"{""TSC CAM1275""}",TSC,TSC_B3,,97,"B3M OSD, C'DOR 405-72, TSC-SPE-3196",-5300328252,2407216752,true
TSC-SPE-3198,"B3M OSD, BOH C'DOR 151-74, TSC-SPE-3198",SPE-3198,FDS_DEVICE,"{""TSC CAM1279""}",TSC,TSC_B3,,97,"B3M OSD, BOH C'DOR 151-74, TSC-SPE-3198",-5300318061,2407222042,true
TSC-SPE-3253,"B4 OSD, AIRLOCK 153-77, TSC-SPE-3253",SPE-3253,FDS_DEVICE,,TSC,TSC_B4,,97,"B4 OSD, AIRLOCK 153-77, TSC-SPE-3253",-5300336294,2407254626,true
TSC-SPE-3254,"B4 OSD, AIRLOCK 153-76, TSC-SPE-3254",SPE-3254,FDS_DEVICE,,TSC,TSC_B4,,97,"B4 OSD, AIRLOCK 153-76, TSC-SPE-3254",-5300337978,2407254626,true
TSC-SPE-3255,"B4 OSD, BOH C'DOR 151-76, TSC-SPE-3255",SPE-3255,FDS_DEVICE,,TSC,TSC_B4,,97,"B4 OSD, BOH C'DOR 151-76, TSC-SPE-3255",-5300353182,2407249706,true
TSC-SPE-3256,"B4 OSD, BOARD 653-71, TSC-SPE-3256",SPE-3256,FDS_DEVICE,,TSC,TSC_B4,,97,"B4 OSD, BOARD 653-71, TSC-SPE-3256",-5300349928,2407249991,true
TSC-SPE-3257,"B4 OSD, BOARD 653-72, TSC-SPE-3257",SPE-3257,FDS_DEVICE,,TSC,TSC_B4,,97,"B4 OSD, BOARD 653-72, TSC-SPE-3257",-5300350022,2407241093,true
TSC-SPE-3083,"B4 OSD, OTE FAN 831-71, TSC-SPE-3083",SPE-3083,FDS_DEVICE,,TSC,TSC_B4,,97,"B4 OSD, OTE FAN 831-71, TSC-SPE-3083",-5300367372,2407219094,true
TSC-SPE-3422,"B2 OSD, CONCOURSE 103-71, TSC-SPE-3422",SPE-3422,FDS_DEVICE,"{""TSC CAM1198""}",TSC,TSC_B2,,97,"B2 OSD, CONCOURSE 103-71, TSC-SPE-3422",-5300304036,2407166312,true
TSC-SPE-3429,"B4 OSD, MAINT.STORE 231-72, TSC-SPE-3429",SPE-3429,FDS_DEVICE,,TSC,TSC_B4,,97,"B4 OSD, MAINT.STORE 231-72, TSC-SPE-3429",-5300371522,2407244993,true
TSC-HTD-3017,"B4 OSD, LOCKER 252-71, TSC-HTD-3017",HTD-3017,FDS_DEVICE,,TSC,TSC_B4,,97,"B4 OSD, LOCKER 252-71, TSC-HTD-3017",,,true
TSC-HTD-3018,"B4 OSD, EMERG.SHOWR 240-71, TSC-HTD-3018",HTD-3018,FDS_DEVICE,,TSC,TSC_B4,,97,"B4 OSD, EMERG.SHOWR 240-71, TSC-HTD-3018",,,true
TSC-HTD-3016,"B4 OSD, LOCKER 251-71, TSC-HTD-3016",HTD-3016,FDS_DEVICE,,TSC,TSC_B4,,97,"B4 OSD, LOCKER 251-71, TSC-HTD-3016",,,true
TSC-SPE-3252,"B4 OSD, BOH STAIR N/A, TSC-SPE-3252",SPE-3252,FDS_DEVICE,,TSC,TSC_B4,,97,"B4 OSD, BOH STAIR N/A, TSC-SPE-3252",-5300355931,2407244419,true
TSC-SPE-3224,"B4 OSD, KITCH/LUNCH 250-71, TSC-SPE-3224",SPE-3224,FDS_DEVICE,,TSC,TSC_B4,,97,"B4 OSD, KITCH/LUNCH 250-71, TSC-SPE-3224",-5300345194,2407256366,true
TSC-HTD-3020,"B4 OSD, LOCKER 252-71, TSC-HTD-3020",HTD-3020,FDS_DEVICE,,TSC,TSC_B4,,97,"B4 OSD, LOCKER 252-71, TSC-HTD-3020",,,true
TSC-HTD-3021,"B4 OSD, LOCKER 251-71, TSC-HTD-3021",HTD-3021,FDS_DEVICE,,TSC,TSC_B4,,97,"B4 OSD, LOCKER 251-71, TSC-HTD-3021",,,true
TSC-HTD-3019,"B4 OSD, WC 255-71, TSC-HTD-3019",HTD-3019,FDS_DEVICE,,TSC,TSC_B4,,97,"B4 OSD, WC 255-71, TSC-HTD-3019",,,true
TSC-SPE-313,"B4 OSD, BOH C'DOR 151-77, TSC-SPE-313",SPE-313,FDS_DEVICE,,TSC,TSC_B4,,97,"B4 OSD, BOH C'DOR 151-77, TSC-SPE-313",,,true
TSC-Z-6681,"Zone 6681: B4 OSD, BOH  TSC-OK-01",Z-6681,FDS_ZONE,"{""TSC CAM1511"",""TSC CAM1485"",""TSC CAM1483"",""TSC CAM1477""}",TSC,TSC_B4,,97,"Zone 6681: B4 OSD, BOH  TSC-OK-01",,,true
TSC-Z-6683,"Zone 6683: B4 OSD,   ",Z-6683,FDS_ZONE,,TSC,TSC_B4,,97,"Zone 6683: B4 OSD,   ",,,true
TSC-Z-6684,"Zone 6684: B4 OSD, OTE PLENUM  ",Z-6684,FDS_ZONE,,TSC,TSC_B4,,97,"Zone 6684: B4 OSD, OTE PLENUM  ",,,true
TSC-SPE-3202,"B4 OSD, BIKE STORE 290-71, TSC-SPE-3202",SPE-3202,FDS_DEVICE,,TSC,TSC_B4,,97,"B4 OSD, BIKE STORE 290-71, TSC-SPE-3202",-5300308123,2407220979,true
TSC-SPE-3203,"B4 OSD, STORE 232-71, TSC-SPE-3203",SPE-3203,FDS_DEVICE,,TSC,TSC_B4,,97,"B4 OSD, STORE 232-71, TSC-SPE-3203",-5300317326,2407221838,true
TSC-SPE-3207,"B4 OSD, BOH C'DOR 151-77, TSC-SPE-3207",SPE-3207,FDS_DEVICE,"{""TSC CAM1511""}",TSC,TSC_B4,,97,"B4 OSD, BOH C'DOR 151-77, TSC-SPE-3207",-5300338439,2407217393,true
TSC-SPE-3209,"B4 OSD, BOH C'DOR 151-77, TSC-SPE-3209",SPE-3209,FDS_DEVICE,"{""TSC CAM1485""}",TSC,TSC_B4,,97,"B4 OSD, BOH C'DOR 151-77, TSC-SPE-3209",-5300349533,2407229379,true
TSC-SPE-3211,"B4 OSD, BOH C'DOR 151-77, TSC-SPE-3211",SPE-3211,FDS_DEVICE,,TSC,TSC_B4,,97,"B4 OSD, BOH C'DOR 151-77, TSC-SPE-3211",-5300358933,2407219993,true
TSC-SPE-3212,"B4 OSD, FAN 830-71, TSC-SPE-3212",SPE-3212,FDS_DEVICE,,TSC,TSC_B4,,97,"B4 OSD, FAN 830-71, TSC-SPE-3212",-5300356733,2407214084,true
TSC-SPE-3275,"B5 OSD, SUMP 894-72, TSC-SPE-3275",SPE-3275,FDS_DEVICE,,TSC,TSC_B5,,97,"B5 OSD, SUMP 894-72, TSC-SPE-3275",-5300325590,2407214081,true
TSC-SPE-3281,"B5 OSD, BOH C'DOR 151-78, TSC-SPE-3281",SPE-3281,FDS_DEVICE,"{""TSC CAM1497""}",TSC,TSC_B5,,97,"B5 OSD, BOH C'DOR 151-78, TSC-SPE-3281",-5300346772,2407245271,true
TSC-SPE-3282,"B5 OSD, BOH C'DOR 151-78, TSC-SPE-3282",SPE-3282,FDS_DEVICE,"{""TSC CAM1497""}",TSC,TSC_B5,,97,"B5 OSD, BOH C'DOR 151-78, TSC-SPE-3282",-5300354476,2407245271,true
TSC-SPE-3285,"B5 OSD, RECYC WATER 885-71, TSC-SPE-3285",SPE-3285,FDS_DEVICE,,TSC,TSC_B5,,97,"B5 OSD, RECYC WATER 885-71, TSC-SPE-3285",-5300356286,2407228876,true
TSC-SPE-3286,"B5 OSD, RECYC WATER 885-71, TSC-SPE-3286",SPE-3286,FDS_DEVICE,,TSC,TSC_B5,,97,"B5 OSD, RECYC WATER 885-71, TSC-SPE-3286",-5300346891,2407228876,true
TSC-SPE-3336,"B4 OSD, KITCH/LUNCH 250-71, TSC-SPE-3336",SPE-3336,FDS_DEVICE,,TSC,TSC_B4,,97,"B4 OSD, KITCH/LUNCH 250-71, TSC-SPE-3336",-5300344814,2407255800,true
TSC-SPE-3338,"B4 OSD, LOCKER 252-71, TSC-SPE-3338",SPE-3338,FDS_DEVICE,,TSC,TSC_B4,,97,"B4 OSD, LOCKER 252-71, TSC-SPE-3338",-5300339229,2407257261,true
TSC-SPE-3339,"B4 OSD, LOCKER 251-71, TSC-SPE-3339",SPE-3339,FDS_DEVICE,,TSC,TSC_B4,,97,"B4 OSD, LOCKER 251-71, TSC-SPE-3339",-5300334223,2407257261,true
TSC-SPE-3340,"B4 OSD, WC 255-71, TSC-SPE-3340",SPE-3340,FDS_DEVICE,,TSC,TSC_B4,,97,"B4 OSD, WC 255-71, TSC-SPE-3340",-5300333824,2407252476,true
TSC-SPE-3243,"B4 OSD, CYLINDER 409-71, TSC-SPE-3243",SPE-3243,FDS_DEVICE,,TSC,TSC_B4,,97,"B4 OSD, CYLINDER 409-71, TSC-SPE-3243",-5300353537,2407226065,true
TSC-SPE-3246,"B4 OSD, COLLECTION 238-71, TSC-SPE-3246",SPE-3246,FDS_DEVICE,,TSC,TSC_B4,,97,"B4 OSD, COLLECTION 238-71, TSC-SPE-3246",-5300308123,2407217794,true
TSC-SPE-3247,"B4 OSD, MECH.PLANT 812-72, TSC-SPE-3247",SPE-3247,FDS_DEVICE,,TSC,TSC_B4,,97,"B4 OSD, MECH.PLANT 812-72, TSC-SPE-3247",-5300340133,2407240710,true
TSC-SPE-3341,"B4 OSD, AIRLOCK 153-77, TSC-SPE-3341",SPE-3341,FDS_DEVICE,,TSC,TSC_B4,,97,"B4 OSD, AIRLOCK 153-77, TSC-SPE-3341",-5300336294,2407254016,true
TSC-SPE-3342,"B4 OSD, AIRLOCK 153-76, TSC-SPE-3342",SPE-3342,FDS_DEVICE,,TSC,TSC_B4,,97,"B4 OSD, AIRLOCK 153-76, TSC-SPE-3342",-5300337978,2407254016,true
TSC-SPE-3133,"B4 OSD, OTE FAN 831-71, TSC-SPE-3133",SPE-3133,FDS_DEVICE,,TSC,TSC_B4,,97,"B4 OSD, OTE FAN 831-71, TSC-SPE-3133",-5300372172,2407219094,true
TSC-SPE-3295,"B5 OSD, TBC TBC, TSC-SPE-3295",SPE-3295,FDS_DEVICE,"{""TSC CAM1496""}",TSC,TSC_B5,,97,"B5 OSD, TBC TBC, TSC-SPE-3295",-5300358230,2407242122,true
TSC-ASD-3009,"B4 OSD, HV SUB A 610-71, TSC-ASD-3009",ASD-3009,FDS_DEVICE_ASD,,TSC,TSC_B4,,97,"B4 OSD, HV SUB A 610-71, TSC-ASD-3009",-5300342956,2407246873,true
TSC-SPE-3278,"B5 OSD, SUMP 894-71, TSC-SPE-3278",SPE-3278,FDS_DEVICE,,TSC,TSC_B5,,97,"B5 OSD, SUMP 894-71, TSC-SPE-3278",-5300346772,2407252881,true
TSC-SPE-3288,"B5 OSD, WTR TREAT 889-71, TSC-SPE-3288",SPE-3288,FDS_DEVICE,,TSC,TSC_B5,,97,"B5 OSD, WTR TREAT 889-71, TSC-SPE-3288",-5300337372,2407245271,true
TSC-Z-6692,"Zone 6692: B5 OSD, SUMP  TSC-ON-01",Z-6692,FDS_ZONE,,TSC,TSC_B5,,97,"Zone 6692: B5 OSD, SUMP  TSC-ON-01",,,true
TSC-Z-6693,"Zone 6693: B5 OSD, TVS PLENUM  ",Z-6693,FDS_ZONE,,TSC,TSC_B5,,97,"Zone 6693: B5 OSD, TVS PLENUM  ",,,true
